ID,Value,E,F,E1,F1,Column 1
Алтайский край,1,Без даты,https://www.altairegion22.ru/upload/iblock/69b/42_Ukaz_26.03.2020.pdf,2020-03-29, публичные мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Амурская область,50,Без даты,https://www.amur.info/news/2020/03/18/169591,2020-03-24,массовые мероприятия,мероприятия с участием более одного человека
Архангельская область,100,«В зависимости от развития ситуации»,http://publication.pravo.gov.ru/Document/View/2900202003170001?index=0&rangeSize=1,2020-03-24,публичные и иные массовые мероприятия,мероприятия с участием более одного человека
Астраханская область,1,14 апреля,https://rg.ru/2020/03/17/reg-ufo/v-astrahani-dlia-zashchity-ot-koronavirusa-otmenili-vse-meropriiatiia.html,2020-03-19,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Белгородская область,1,16 апреля,http://publication.pravo.gov.ru/Document/View/3100202003170001,2020-03-17,"массовые мероприятий, в том числе публичные","с любым числом участников, упоминаются публичные мероприятия"
Брянская область,50,Без даты,http://publication.pravo.gov.ru/Document/View/3200202003180003?index=0&rangeSize=1,2020-03-24,публичные и иные массовые мероприятия,мероприятия с участием более одного человека
Владимирская область,1,Без даты,http://publication.pravo.gov.ru/File/GetFile/3300202003270006?type=pdf,2020-03-27,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Волгоградская область,1,4/05/2020,https://npa.volganet.ru/Docum/FindDocum/77995,2020-03-29,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Вологодская область,50,17 апреля,https://vologda-oblast.ru/dokumenty/2527938/,2020-03-29,массовых мероприятий,мероприятия с участием более одного человека
Воронежская область,50,Без даты,https://www.govvrn.ru/novost/-/~/id/5259864,2020-03-28,массовые мероприятия,мероприятия с участием более одного человека
Еврейская автономная область,1,Без даты,https://riabir.ru/lenta/novosti/kulturnye-i-sportivnye-massovye-meropriyatiya-otmenili-v-birobidzhane.html,2020-03-20,досуговые мероприятия ,"с любым числом участников, не упоминаются публичные мероприятия"
Забайкальский край,50,Без даты,http://publication.pravo.gov.ru/Document/View/7500202003230001,2020-03-24,массовые мероприятия,мероприятия с участием более одного человека
Ивановская область,50,Без даты,http://publication.pravo.gov.ru/File/GetFile/3700202003270002?type=pdf,2020-03-29,массовые мероприятия,мероприятия с участием более одного человека
Иркутская область,50,«На срок до ликвидации угрозы распространения коронавирусной инфекции»,http://publication.pravo.gov.ru/Document/View/3800202003190001,2020-03-29,массовые мероприятия,мероприятия с участием более одного человека
Кабардино-Балкарская республика,1,Без даты,https://rg.ru/2020/03/19/kbr-ukaz19-reg-dok.html,2020-03-20,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
